study.ID,study,species,treatment,control,N,n,turbine.kW,n.turbines,duration.yrs
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Icterus spurius,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Melospiza georgiana,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Chondestes grammacus,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Zonotrichia leucophrys,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Pheucticus ludovicianus,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Guiraca caerulea,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Stelgidopteryx serripennis,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Vireo olivaceus,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Dendroica virens,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Wilsonia canadensis,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Oporornis agilis,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Dendroica.palmarum.sp,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Regulus calendula sp,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Catharus minimus sp,0.00001,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Calidris	melanotos",0.00001,0.02,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Carduelis pinus,0.00001,0.02,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Riparia riparia,0.00001,0.02,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Dendroica coronata sp,0.00001,0.02,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Euphagus carolinus,0.00001,0.03,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Carduelis flammea,0.00001,0.1,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Anser	caerulescens",0.00001,0.16,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Anser	albifrons",0.00001,0.16,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Anas	discors",0.01,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Aix	sponsa",0.01,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Buteo	platypterus",0.01,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Buteo	swainsoni",0.01,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Empidonax	minimus",0.01,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Icterus galbula,0.01,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Carpodacus mexicanus,0.01,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Spizella passerina,0.01,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Vireo gilvus,0.01,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Setophaga ruticilla,0.01,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Vermivora peregrina,0.01,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Dumetella carolinensis s,0.01,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Catharus guttatus sp,0.01,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Lanius excubitor a,0.01,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Circus	cyaneus",0.01,0.02,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Tyrannus	verticalis",0.01,0.02,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Zonotrichia albicollis,0.01,0.02,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Dendroica petechia sp,0.01,0.02,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Toxostoma rufum s,0.01,0.02,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Gallinago	gallinago",0.01,0.03,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Falco	sparverius",0.01,0.03,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Melospiza lincolnii,0.01,0.03,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Poecile atricapilla a,0.01,0.03,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Euphagus cyanocephalus,0.01,0.04,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Bartramia	longicauda",0.01,0.06,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Sialia sialis a,0.01,0.06,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Troglodytes aedon s,0.01,0.08,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Zonotrichia querula,0.01,0.09,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Tyrannus	tyrannus",0.01,0.16,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Petrochelidon pyrrhonota,0.01,0.44,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Anthus.rubescens,0.02,0.01,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Buteo	jamaicensis",0.02,0.05,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Junco hyemalis,0.02,0.09,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Pluvialis	dominica",0.02,0.15,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Xanthocephalus xanthocephalus,0.03,0.02,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Spizella pallida,0.03,0.05,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Ammodramus savannarum,0.03,0.07,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Spizella arborea,0.03,0.13,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Tachycineta bicolor,0.04,0.09,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Passer domesticus a,0.04,0.12,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Cyanocitta cristata,0.04,0.25,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Pooecetes gramineus,0.06,0.24,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Passerculus sandwichensis,0.08,0.18,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Melospiza melodia,0.08,0.21,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Charadrius	vociferus",0.09,0.25,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Corvus brachyrhynchos,0.1,0.11,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Anas	platyrhynchos",0.1,0.13,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Carduelis tristis,0.1,0.24,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Branta	canadensis",0.11,0.25,16,30,750,73,3
